Attack ID,Timestamp,Source IP,Destination IP,Attack Type,Protocol Used,Port Number,Malware Used,Payload Size (KB),Country of Origin,Target Organization,Response Time (ms),Attack Severity,Success Status,Data Compromised (MB),Firewall Status,User Credentials Leaked,Ransom Demand ($),Remediation Applied,Attack Source Category
d3701d4e,44:56.8,148.201.87.44,107.128.168.45,Ransomware,TCP,17869,TrickBot,420.31,Germany,GovSecure,3180,Critical,No,0,No,0,465836.29,Alert Sent,Botnet
7f1ca32f,54:56.8,168.11.75.254,133.160.23.163,Ransomware,FTP,50451,Zeus,309.57,India,RetailMart,2851,Medium,No,0,No,0,703100.73,IP Ban,Individual Hacker
b92bb217,39:56.8,5.41.109.149,73.92.7.117,Malware Injection,UDP,61474,,328.79,North Korea,EduCare,1201,Medium,Yes,151.66,No,445,0,IP Ban,Botnet
fa7c19c6,01:56.8,118.39.161.20,187.239.74.181,XSS,UDP,9752,TrickBot,50.08,Russia,Tech Solutions,3756,Medium,Yes,45.25,No,500,0,Alert Sent,Insider Threat
bf5ec883,13:56.8,30.96.104.28,213.247.72.150,Phishing,FTP,40756,Emotet,332.33,UK,EduCare,968,Medium,No,0,No,0,0,Data Recovery,Insider Threat
4319b4aa,18:56.8,83.94.221.11,25.30.129.216,DDoS,TCP,10823,Mirai,360.13,India,FinanceTrust,2418,High,Yes,83,No,668,0,IP Ban,Insider Threat
8481a06a,12:56.8,31.236.73.187,152.83.190.5,Phishing,UDP,46656,Mirai,75.97,Russia,Tech Solutions,3113,Medium,No,0,Yes,0,0,Alert Sent,Individual Hacker
ccc5fad1,18:56.8,7.20.10.179,36.202.28.113,Brute Force,TCP,64463,Trojan.Win32,348.32,North Korea,Bank Corp,3545,High,No,0,No,0,0,Patch Update,Botnet
eabb5c40,03:56.8,153.37.189.122,159.186.21.63,Brute Force,TCP,49847,TrickBot,344.24,USA,Bank Corp,2698,High,Yes,137.14,No,699,0,Firewall Upgrade,Insider Threat
08eabf56,35:56.8,145.176.236.230,177.147.142.167,SQL Injection,UDP,52655,,200.89,Germany,FinanceTrust,1286,High,No,0,Yes,0,0,Alert Sent,Individual Hacker
28e4b59d,12:56.8,145.252.240.10,16.33.110.97,DDoS,TCP,52894,Ransom.Locky,269.2,Iran,EduCare,1063,Critical,No,0,No,0,0,Patch Update,Individual Hacker
8a833d46,21:56.8,251.168.202.116,17.99.159.202,Phishing,FTP,34961,Emotet,145.09,Germany,FinanceTrust,2878,Medium,Yes,182.33,No,986,0,Patch Update,Individual Hacker
c39e458b,39:56.8,78.247.175.20,205.169.86.209,Brute Force,TCP,55126,Emotet,299.73,Brazil,HealthNet,258,Medium,Yes,168.21,No,584,0,IP Ban,Botnet
ed1d153a,46:56.8,204.12.75.204,243.171.11.210,Ransomware,HTTPS,12197,SpyEye,48.21,Brazil,FinanceTrust,4449,High,Yes,192.87,Yes,478,646817.42,Patch Update,State-Sponsored
26cb325a,16:56.8,245.116.242.38,161.74.29.23,XSS,HTTP,53846,Ransom.Locky,437.62,Germany,EduCare,2466,Critical,Yes,72.3,No,120,0,IP Ban,State-Sponsored
4a8371da,38:56.8,14.198.67.24,242.64.59.50,Phishing,SSH,30100,TrickBot,420.33,UK,FinanceTrust,2550,Low,Yes,151.99,No,738,0,Patch Update,Botnet
8fc6f060,10:56.8,157.174.7.179,148.88.46.85,MITM Attack,SMTP,46105,TrickBot,73.9,Germany,RetailMart,1680,Medium,Yes,12.47,No,285,0,IP Ban,Botnet
c78ef34f,49:56.8,190.94.13.212,41.226.43.25,XSS,ICMP,45230,SpyEye,320.95,Iran,FinanceTrust,457,High,Yes,136.02,Yes,403,0,IP Ban,Botnet
635d505c,08:56.8,177.140.126.51,89.227.74.91,MITM Attack,ICMP,21913,Emotet,294.8,USA,Bank Corp,3125,Medium,Yes,21.29,No,34,0,Firewall Upgrade,Insider Threat
0fca21db,51:56.8,7.219.245.250,201.158.41.245,XSS,TCP,55817,WannaCry,43.48,India,HealthNet,564,Low,No,0,Yes,0,0,IP Ban,State-Sponsored
791aeece,06:56.8,149.218.162.29,96.131.244.138,MITM Attack,SMTP,58560,,249.28,India,GovSecure,251,Medium,No,0,Yes,0,0,Firewall Upgrade,Individual Hacker
64ef251a,41:56.8,158.123.98.130,20.251.246.247,Brute Force,UDP,34334,TrickBot,420.56,Germany,FinanceTrust,2647,Low,Yes,165.21,Yes,736,0,IP Ban,Individual Hacker
bf3a911d,46:56.8,151.186.248.249,249.82.228.137,Phishing,UDP,28419,SpyEye,336.56,Iran,Bank Corp,4114,Medium,Yes,107.82,No,98,0,IP Ban,Insider Threat
45e444c1,28:56.8,188.141.214.229,15.96.76.15,Phishing,HTTPS,26336,Emotet,147.97,Russia,EduCare,2300,Critical,Yes,132.78,Yes,73,0,IP Ban,Insider Threat
123a2d72,43:56.8,122.77.219.20,42.15.167.6,SQL Injection,SMTP,33121,Mirai,224.67,Germany,Tech Solutions,678,Medium,Yes,67.61,Yes,383,0,IP Ban,Individual Hacker
b9b3470f,04:56.8,135.56.247.153,56.46.209.48,SQL Injection,ICMP,14126,Trojan.Win32,234.66,Iran,Bank Corp,3236,Critical,No,0,Yes,0,0,Firewall Upgrade,Botnet
